1 Iztočnica,1 Pojavna oblika,Spletna stran,
Perger Johann,Perger Johann,https://okupacijskemeje.si/exh02-ch03.html,
Petek Vjekoslav,Vjekoslav Petek,https://okupacijskemeje.si/exh02-ch07.html,
Petek Vjekoslav,Vjekoslav Petek,https://okupacijskemeje.si/en-exh02-ch07.html,
Peter Weissbacher,Peter Weissbacher,https://okupacijskemeje.si/exh03-ch02.html,
Peter Weissbacher,Peter Weissbacher,https://okupacijskemeje.si/exh03-ch03.html,
Peteršič Ivan,Peteršiča Ivana,https://okupacijskemeje.si/exh01-ch12.html,
Poharc Irena ,Irene Poharc,https://okupacijskemeje.si/exh02-ch03.html,
Pokorn Jože,Jože Pokorn,https://okupacijskemeje.si/exh04-ch01.html,
Pokorn Jože,Jožeta Pokorna,https://okupacijskemeje.si/exh01-ch07.html,
Pokorn Jože,Jože Pokorn,https://okupacijskemeje.si/exh04-en-ch01.html,
Pokorn Jože,Jožeta Pokorna,https://okupacijskemeje.si/exh04-ch08.html,
Pokorn Jože,Jože Pokorn,https://okupacijskemeje.si/exh04-ch08.html,
Pokorn Jože,Pokorn,https://okupacijskemeje.si/exh04-ch08.html,
Poljanec Nani,Nani Poljanec,https://okupacijskemeje.si/exh01-ch12.html,
Poljanec Nani,Nani Poljanec,https://okupacijskemeje.si/exh02-ch02.html,
Predan Rudolf,Rudolf Predan,https://okupacijskemeje.si/exh02-ch07.html,
Predan Rudolf,Rudolf Predan,https://okupacijskemeje.si/en-exh02-ch07.html,
Premrl Janko - Vojko,Vojkovi (četi),https://okupacijskemeje.si/exh03-ch08.html,
Premrl Janko - Vojko,Vojko's unit,https://okupacijskemeje.si/en-exh03-ch08.html,
Premrl Janko - Vojko,Janka Premrla-Vojka,https://okupacijskemeje.si/exh03-ch01.html,
Premrl Janko - Vojko,Janka Premrla,https://okupacijskemeje.si/exh03-ch01.html,
Prešern Jakob,Jakob Prešern,https://okupacijskemeje.si/exh05-ch08.html,
Prešern Jakob,Jakob Prešern,https://okupacijskemeje.si/en-exh05-ch08.html,
Prešern Jakob,Jakob Prešern,https://okupacijskemeje.si/exh05-ch09.html,
Prešern Jakob,Jakob Prešern,https://okupacijskemeje.si/en-exh05-ch09.html,
Prešern Jakob,Jakob Prešern,https://okupacijskemeje.si/exh05-ch10.html,
Prešern Jakob,Jakob Prešern,https://okupacijskemeje.si/en-exh05-ch10.html,
Prešern Jakob,Jakob Prešern,https://okupacijskemeje.si/exh01-ch09.html,
Prešern Jakob,Jakob Prešern,https://okupacijskemeje.si/exh01-ch09.html,
Radkovič Zvone,Zvone Radkovič,https://okupacijskemeje.si/exh04-ch07.html,
Reich Robert,Roberta Reicha,https://okupacijskemeje.si/exh02-ch04.html,
Reich Robert,Robert Reich,https://okupacijskemeje.si/en-exh02-ch04.html,
Repe Bože,Božo Repe,https://okupacijskemeje.si/exh01-ch03.html,
Repe Bože,Božo Repe,https://okupacijskemeje.si/exh03-ch08.html,
Repe Božo,Božo Repe,https://okupacijskemeje.si/exh01-ch11.html,
Repe Božo,Božo Repe,https://okupacijskemeje.si/exh01-ch12.html,
Repe Božo,Božo Repe,https://okupacijskemeje.si/exh01-ch12.html,
Repe Božo,Božo Repe,https://okupacijskemeje.si/exh01-ch12.html,
Repe Božo,Božo Repe,https://okupacijskemeje.si/en-exh03-ch08.html,
